task,model,is_inst,threshold_fitted,threshold,accuracy,bench_hash,num_shots,prompt_format,prompt_connector,prompt_granularity,prompt_feature_order,eval_results_path,predictions_path
ACSIncome,Qwen--Qwen2.5-72B-Instruct,1,1,0.16483516483516483,0.7617062180835086,175002779,0,text,=,low, reversed,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-175002779/results.bench-175002779.json,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-458060657/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,Qwen--Qwen2.5-72B-Instruct,1,1,0.148014440433213,0.7768879543406428,1344084919,0,bullet,is,original, reversed,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-1344084919/results.bench-1344084919.json,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-3272251340/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,Qwen--Qwen2.5-72B-Instruct,1,1,0.0031722691935901102,0.7669570441574046,3156286684,0,text,is,original,default,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-3156286684/results.bench-3156286684.json,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-3052017257/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,Qwen--Qwen2.5-72B-Instruct,1,1,0.003183040267004543,0.772760588765395,2985942201,0,bullet,:,original,default,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-2985942201/results.bench-2985942201.json,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-3694857310/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,Qwen--Qwen2.5-72B-Instruct,1,1,0.007574402099361842,0.7799459297086212,1338756957,0,bullet,is,original,default,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-1338756957/results.bench-1338756957.json,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-3724408086/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,Qwen--Qwen2.5-72B-Instruct,1,1,0.10646636185499674,0.7778732352057675,3575798178,0,bullet,:,original, reversed,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-3575798178/results.bench-3575798178.json,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-3605008113/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,Qwen--Qwen2.5-72B-Instruct,1,1,0.025993265993265992,0.765160708921598,3552426855,0,text,:,original,rand 2,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-3552426855/results.bench-3552426855.json,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-2997642754/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,Qwen--Qwen2.5-72B-Instruct,1,1,0.2692713833157339,0.7743706818864524,16021447,0,bullet,is,low,rand 2,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-16021447/results.bench-16021447.json,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-672272429/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,Qwen--Qwen2.5-72B-Instruct,1,1,0.009724386181700961,0.7523039951937519,2892597297,0,comma,=,low,rand 3,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-2892597297/results.bench-2892597297.json,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-4084899153/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,Qwen--Qwen2.5-72B-Instruct,1,0,0.5,0.7883268248723341,1375822597,0,comma,:,original,default,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-1375822597/results.bench-1375822597.json,results/folktexts/0-variations/model-Qwen--Qwen2.5-72B-Instruct/Qwen--Qwen2.5-72B-Instruct_task-ACSIncome/Qwen--Qwen2.5-72B-Instruct_bench-1375822597/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
