task,model,is_inst,threshold_fitted,threshold,accuracy,bench_hash,num_shots,prompt_format,prompt_connector,prompt_granularity,prompt_feature_order,eval_results_path,predictions_path
ACSIncome,meta-llama--Meta-Llama-3.2-1B-Instruct,1,0,0.5,0.3678762391108441,4087643733,0,bullet,is,original,default,results/folktexts/0-bullet-is/model-meta-llama--Meta-Llama-3.2-1B-Instruct/meta-llama--Meta-Llama-3.2-1B-Instruct_task-ACSIncome/meta-llama--Meta-Llama-3.2-1B-Instruct_bench-4087643733/results.bench-4087643733.json,results/folktexts/0-bullet-is/model-meta-llama--Meta-Llama-3.2-1B-Instruct/meta-llama--Meta-Llama-3.2-1B-Instruct_task-ACSIncome/meta-llama--Meta-Llama-3.2-1B-Instruct_bench-4087643733/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,meta-llama--Meta-Llama-3.2-1B-Instruct,1,1,0.7767441860465116,0.6804085310904175,3019759728,0,bullet,is,original,default,results/folktexts/0-bullet-is/model-meta-llama--Meta-Llama-3.2-1B-Instruct/meta-llama--Meta-Llama-3.2-1B-Instruct_task-ACSIncome/meta-llama--Meta-Llama-3.2-1B-Instruct_bench-3019759728/results.bench-3019759728.json,results/folktexts/0-bullet-is/model-meta-llama--Meta-Llama-3.2-1B-Instruct/meta-llama--Meta-Llama-3.2-1B-Instruct_task-ACSIncome/meta-llama--Meta-Llama-3.2-1B-Instruct_bench-4087643733/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,allenai--OLMo-2-1124-7B-Instruct,1,1,0.9045521292217328,0.7277680985280865,3118177042,0,bullet,is,original,default,results/folktexts/0-bullet-is/model-allenai--OLMo-2-1124-7B-Instruct/allenai--OLMo-2-1124-7B-Instruct_task-ACSIncome/allenai--OLMo-2-1124-7B-Instruct_bench-3118177042/results.bench-3118177042.json,results/folktexts/0-bullet-is/model-allenai--OLMo-2-1124-7B-Instruct/allenai--OLMo-2-1124-7B-Instruct_task-ACSIncome/allenai--OLMo-2-1124-7B-Instruct_bench-2229201787/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,allenai--OLMo-2-1124-7B-Instruct,1,0,0.5,0.4047281465905677,2229201787,0,bullet,is,original,default,results/folktexts/0-bullet-is/model-allenai--OLMo-2-1124-7B-Instruct/allenai--OLMo-2-1124-7B-Instruct_task-ACSIncome/allenai--OLMo-2-1124-7B-Instruct_bench-2229201787/results.bench-2229201787.json,results/folktexts/0-bullet-is/model-allenai--OLMo-2-1124-7B-Instruct/allenai--OLMo-2-1124-7B-Instruct_task-ACSIncome/allenai--OLMo-2-1124-7B-Instruct_bench-2229201787/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,google--gemma-2-27b,0,1,0.43847487001733104,0.5103814959447281,3621160589,0,bullet,is,original,default,results/folktexts/0-bullet-is/model-google--gemma-2-27b/google--gemma-2-27b_task-ACSIncome/google--gemma-2-27b_bench-3621160589/results.bench-3621160589.json,results/folktexts/0-bullet-is/model-google--gemma-2-27b/google--gemma-2-27b_task-ACSIncome/google--gemma-2-27b_bench-1719521954/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,google--gemma-2-27b,0,0,0.5,0.5237488735355963,1719521954,0,bullet,is,original,default,results/folktexts/0-bullet-is/model-google--gemma-2-27b/google--gemma-2-27b_task-ACSIncome/google--gemma-2-27b_bench-1719521954/results.bench-1719521954.json,results/folktexts/0-bullet-is/model-google--gemma-2-27b/google--gemma-2-27b_task-ACSIncome/google--gemma-2-27b_bench-1719521954/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,google--gemma-2-27b-it,1,1,0.8672350791717418,0.6597176329227996,1712994131,0,bullet,is,original,default,results/folktexts/0-bullet-is/model-google--gemma-2-27b-it/google--gemma-2-27b-it_task-ACSIncome/google--gemma-2-27b-it_bench-1712994131/results.bench-1712994131.json,results/folktexts/0-bullet-is/model-google--gemma-2-27b-it/google--gemma-2-27b-it_task-ACSIncome/google--gemma-2-27b-it_bench-1665971878/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,google--gemma-2-27b-it,1,0,0.5,0.5902913787924302,1665971878,0,bullet,is,original,default,results/folktexts/0-bullet-is/model-google--gemma-2-27b-it/google--gemma-2-27b-it_task-ACSIncome/google--gemma-2-27b-it_bench-1665971878/results.bench-1665971878.json,results/folktexts/0-bullet-is/model-google--gemma-2-27b-it/google--gemma-2-27b-it_task-ACSIncome/google--gemma-2-27b-it_bench-1665971878/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,meta-llama--Meta-Llama-3-70B,0,0,0.5,0.6697566836887955,758164074,0,bullet,is,original,default,results/folktexts/0-bullet-is/model-meta-llama--Meta-Llama-3-70B/meta-llama--Meta-Llama-3-70B_task-ACSIncome/meta-llama--Meta-Llama-3-70B_bench-758164074/results.bench-758164074.json,results/folktexts/0-bullet-is/model-meta-llama--Meta-Llama-3-70B/meta-llama--Meta-Llama-3-70B_task-ACSIncome/meta-llama--Meta-Llama-3-70B_bench-758164074/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
ACSIncome,meta-llama--Meta-Llama-3-70B,0,1,0.532133676092545,0.7636407329528387,4121241683,0,bullet,is,original,default,results/folktexts/0-bullet-is/model-meta-llama--Meta-Llama-3-70B/meta-llama--Meta-Llama-3-70B_task-ACSIncome/meta-llama--Meta-Llama-3-70B_bench-4121241683/results.bench-4121241683.json,results/folktexts/0-bullet-is/model-meta-llama--Meta-Llama-3-70B/meta-llama--Meta-Llama-3-70B_task-ACSIncome/meta-llama--Meta-Llama-3-70B_bench-758164074/ACSIncome_full_seed-42_hash-1998608642.test_predictions.csv
